Nom,Adreces/Carrer,Adreces/Carrer (bis),Adreces/Ciutat,Adreces/Codi postal,Adreces/Subdivisió/Codi,Adreces/País/Codi,CIF/NIF
R. M. TRADE S.A.,"BERLIN, 2",,Vacarisses,08233,ES-B,ES,ESA59864546
ROBAPHARM ESPAÑA S.A.,"RAMON TRIAS FARGAS, 7",,Barcelona,08005,ES-B,ES,ESA28113843
ROBECO INVEST S.L.,"ANGLI, 10 ET 3",,Barcelona,08017,ES-B,ES,ESB36009611
ROBERTO CASTILLON S.A.,"CR C-155, S/N 17",,Lliça De Vall,08185,ES-B,ES,ESA08628372
ROCA GONZALEZ S.L.,"COBALT, 185",,L'Hospitalet De Llobregat,08907,ES-B,ES,ESB08599185
ROCAS Y MARMOLES S.A.,"TORRENT DE CAN PAYAS, S/N 7 11",,Mas Rampinyo,08110,ES-B,ES,ESA59046359
ROCHE HERMANOS S.A.,"PZ BASTIDA, 1",,Rubi,08191,ES-B,ES,ESA08622797
ROCK & CLASSICS SL,"ISCLE SOLER, 14 D LO",,Terrassa,08221,ES-B,ES,ESB60881356
RODAMIENTOS ANMAR S.L.,"AV LLANA, 121",,Rubi,08191,ES-B,ES,ESB65234494
RODAMIENTOS ESFERICOS S.A.,"MOTORS, 306",,L'Hospitalet De Llobregat,08908,ES-B,ES,ESA50062892
RODANT S.A.,"PG INDUSTRIAL CAN CORTES, 46 NAV",,Palau-Solita I Plegamans,08184,ES-B,ES,ESA08422412
RODCAMP LOGISTICA S.L.,"MAS PUJOL, 41 P I CONGOST",,Poligono Industrial Congost,08520,ES-B,ES,ESB61645289
RODES & SALA ABOGADOS SL,"AV PAU CASALS, 15 3",,Barcelona,08021,ES-B,ES,ESB62416052
ROEHLIG ESPAÑA S.L.,"AV FRANCESC CAMBO, 14 5 D",,Barcelona,08003,ES-B,ES,ESB60607595
ROGOFOT S.L.,"PALLARS, 135",,Barcelona,08018,ES-B,ES,ESB60724291
ROIG CONSTRUCCIONES Y SERVICIOS S.L.,"PROVENÇA, 156 5 3",,Barcelona,08036,ES-B,ES,ESB58117086
ROIGXA PAN S.L.,"REC DEL MOLINAR, S/N NAV 4",,Montmelo,08160,ES-B,ES,ESB63631394
ROLAND DIGITAL GROUP IBERIA S.L.,"ELS CERAMISTES, 6",,Cerdanyola Del Valles,08290,ES-B,ES,ESB63841290
ROLAND IBERIA S.L.,"PS GARCIA I FARIA, 33 EN 1",,Barcelona,08005,ES-B,ES,ESB63370878
ROLMOVIL S.L.,"ESQUEIS, 19",,El Rieral De Bigues,08415,ES-B,ES,ESB60033990
ROMAG S.A.,"AV DEL MEDITERRANI, 2",,Ripollet,08291,ES-B,ES,ESA08601213
ROMPAL INGENIEROS S.A.,"PG MONTSERRAT ROIG, 23 POL.IND. PEDROSA",,L'Hospitalet De Llobregat,08908,ES-B,ES,ESA08934119
ROSA CLARA HOLDING CORPORATIVO S.L.,"NARCIS DE MONTURIOL, 130",,L'Hospitalet De Llobregat,08902,ES-B,ES,ESB65691974
ROSENDO JUNCA FORCADA S.L.,"COMTE D'URGELL, 219 BJ",,Barcelona,08036,ES-B,ES,ESB08113649
ROSICH Y PUIGDENGOLAS S.A.,"SALVADOR ESPRIU, 171",,L'Hospitalet De Llobregat,08908,ES-B,ES,ESA08104291
ROSLER INTERNATIONAL GMBH & CO KG SUCURSAL EN ESPA,"ROMA, 15",,Rubi,08191,ES-B,ES,ESW0041480E
ROS MARI S.A.,"AV VENTS, 9 5 2",,Badalona,08917,ES-B,ES,ESA08636573
ROTO FRANK S.A.,"CA N'ESTEVE, 4",,Montmelo,08160,ES-B,ES,ESA60139615
ROTULOS MACE S.A.,"BOTANICA, 63 BS 1",,L'Hospitalet De Llobregat,08908,ES-B,ES,ESA08803918
ROVALMA S.A.,"APOL·LO, 51 D",,Terrassa,08228,ES-B,ES,ESA08466641
RPM EVENTS Y SERVICIOS DE MARKETING Y PUBLICIDAD S,"AV DE LA GRANVIA DE L'HOSPITALET, 8 6",,L'Hospitalet De Llobregat,08902,ES-B,ES,ESB59346569
RPM RACING S.L.,"AV DE LA GRANVIA DE L'HOSPITALET, 8 7",,L'Hospitalet De Llobregat,08902,ES-B,ES,ESB61514360
RS ISOLSEC S.L.U.,"AV DEL RIU MOGENT, 5",,Montornes Nord,08170,ES-B,ES,ESB63655351
RS TURIA S.L.,"AV CASTELL DE BARBERA, 15 3",,Barbera Del Valles,08210,ES-B,ES,ESB96442728
RUBIES SPAIN S.L.,"PARE LLAURADOR, 172",,Terrassa,08224,ES-B,ES,ESB82030347
RUBIMENS S.L.,"HOLANDA, 24 53 54",,Badalona,08917,ES-B,ES,ESB59125302
RUDDER LOGISTICS S.L.,"NICARAGUA, 48",,Barcelona,08029,ES-B,ES,ESB65361750
RUIBAL LOSADA S.A.,"BINEFAR, 34 6 2",,Barcelona,08020,ES-B,ES,ESA59191197
RUIZ CARRION S.A.,"LONGITUDINAL 6, 244",,Barcelona,08040,ES-B,ES,ESA08791014
RUSC VALORITZACIO S.L.,"RIBERA DEL CONGOST, 50",,Poligono Industrial Congost,08520,ES-B,ES,ESB60643996
RUTA 777 GAMES S.L.U.,"CR RUBI, 102",,Sant Cugat Del Valles,08174,ES-B,ES,ESB64700198
SABACAUCHO S.A.,"MARESME, 1",,Pla De La Bruguera,08211,ES-B,ES,ESA08837809
SABADELL FRUIT DISTRIBUCIONS S.L.,"CR SABADELL A LA MANCOMUNITAT, S/N MDO CTRAL",,Terrassa,08227,ES-B,ES,ESB60192663
SABADELL HELICOPTERS SERVICE CENTER S.L.,"CR BELLATERRA, S/N",,Sabadell,08205,ES-B,ES,ESB65662009
SABA INFRAESTRUCTURAS S.A.,"AV PARC LOGISTIC, 22",,Barcelona,08040,ES-B,ES,ESA65550311
SABA PARQUES LOGISTICOS S.A.,"AV PARC LOGISTIC, 22",,Barcelona,08040,ES-B,ES,ESA60306438
SABATE DOLÇ I SALAT S.L.,"AV CASTELL DE BARBERA, 15 18",,Barbera Del Valles,08210,ES-B,ES,ESB25233008
SABATEE. HIJOS S.A.,"MC MERCABARNA, 55 PARADA",,Barcelona,08040,ES-B,ES,ESA08886285
SABATER NURI CARBURANTS S.A.,"SANTA ANNA, 133",,Cerdanyola Del Valles,08290,ES-B,ES,ESA60861598
SACASA S.A.,"BALMES, 212 BJ",,Barcelona,08006,ES-B,ES,ESA08360109
SACOEL S.A.,"CONSELL DE CENT, 141",,Barcelona,08015,ES-B,ES,ESA58147901
SADECA SYSTEMS S.L.U.,"CAN CLAPERS, 25",,Sentmenat,08181,ES-B,ES,ESB65012379
SAES THE PORTION COMPANY S.L.,"GIRONA, 15",,La Llagosta,08120,ES-B,ES,ESB08851644
SAET 94 S.L.,"DE LA TREPADELLA, 10 PG I CASTELLBI",,Castellbisbal,08755,ES-B,ES,ESB60482759
SAFELAYER SECURE COMMUNICATIONS S.A.,"ED WORLD TRADE CENTER, S/N MOLL BCN",,Barcelona,08039,ES-B,ES,ESA61930046
SAGATU ASOCIADOS COMERCIAL HOTELERA S.L.,"PARIS, 120 7 2",,Barcelona,08036,ES-B,ES,ESB63751853
SAGREFE S.L.,"JOAN GÜELL, 207",,Barcelona,08028,ES-B,ES,ESB60432523
SAGRERA AUDIOVISUAL S.A.,"AV MERIDIANA, 350 10",,Barcelona,08027,ES-B,ES,ESA61338943
SAINT HONORE S.A.,"MARQUES DE SANTA ANA, 11 1 2",,Barcelona,08023,ES-B,ES,ESA08126641
SALA RAZZMATAZZ S.L.,"PAMPLONA, 88 IN 1",,Barcelona,08018,ES-B,ES,ESB84829431
S. A. L. COSTA S.A.,"CR CIRCUMVAL·LACIO, 5 KM 6",,Barcelona,08040,ES-B,ES,ESA08162893
SALERM COSMETICA PROFESIONAL S.A.,"GARRAF, S/N PG IND CANTALLOP",,Cantallops,08185,ES-B,ES,ESA61028668
SALLO KYRA S.L.,"BACH, 2 NAV",,Rubi,08191,ES-B,ES,ESB61077962
SAMIFI ESPAÑOLA S.A.,"BEETHOVEN, 2",,Rubi,08191,ES-B,ES,ESA08110462
SAMSON S.A.,"AV CAN SUCARRATS, 104",,Rubi,08191,ES-B,ES,ESA08735037
SANCHEZ NOVELLA S.L.,"JOAQUIM VAYREDA, 5",,Badalona,08911,ES-B,ES,ESB62856133
SANDRAL S.A.,"NUMANCIA, 73",,Barcelona,08029,ES-B,ES,ESA08714255
SANEAMIENTOS MARITIMOS S.A.,"MANDRI, 25 1 3",,Barcelona,08022,ES-B,ES,ESA08179582
SANEJAMENT SOLER S.L.,"JOSEP BONASTRE, 6",,Caldes De Montbui,08140,ES-B,ES,ESB63372999
SANER TRANSPORTES INTERNACIONALES S.A.,"5 P I ZONA FRANCA SEC, 237",,Barcelona,08040,ES-B,ES,ESA58413857
SANITARIOS BOSCO S.A.,"SANT SALVADOR, 56 B 1",,Barcelona,08024,ES-B,ES,ESA58409905
SANMY S.A.,"CR CASTELLAR, 20",,Terrassa,08222,ES-B,ES,ESA08543837
SANT CUGAT DIR S.A.,"INDUSTRIA, 90 EN 6",,Barcelona,08025,ES-B,ES,ESA62336342
SANTIVI S.L.,"ENRIC GRANADOS, 85 BJ",,Barcelona,08008,ES-B,ES,ESB08813966
SANTOBA ESPAÑA S.L.,"GAIA, S/N PG PLA D EN COLL",,Mas Rampinyo,08110,ES-B,ES,ESB61186862
SANTOS JORGE S.A.,"BILBAO, S/N 29 33",,Mollet Del Valles,08100,ES-B,ES,ESA08423048
SANT QUIRZE LLAR S.L.,"CR TERRASSA, 333 2",,Sabadell,08205,ES-B,ES,ESB63159610
SAPIENS S.C.C.L.,"CORDERS, 22",,Badalona,08911,ES-B,ES,ESF64074982
SAR DOMUS S.L.,"ARIBAU, 185 E",,Barcelona,08021,ES-B,ES,ESB08832552
SARMOVIL S.A.,"CARRETERA BARCELONA, 191",,Cerdanyola Del Valles,08290,ES-B,ES,ESA58604877
SASTRE HERMANOS S. A. EMPRESA CONSTRUCTORA,"RB CATALUNYA, 53 5",,Barcelona,08007,ES-B,ES,ESA08191918
SAVASUN S.A.,"CONSELL DE CENT, 373 2 1",,Barcelona,08009,ES-B,ES,ESA43261478
SAVOR EDICIONES S.A.,"CAN BRUIXA, 35 BJ",,Barcelona,08014,ES-B,ES,ESA58407313
SAYTEL SERVICIOS INFORMATICOS S.A.,"PUJADES, 350 2",,Barcelona,08019,ES-B,ES,ESA61172219
SCACS S.A.,"AV DIAGONAL, 465",,Barcelona,08036,ES-B,ES,ESA08351991
SCHAFER SISTEMAS INTERNACIONAL S.L.,"CAN PI, 17",,L'Hospitalet De Llobregat,08908,ES-B,ES,ESB62079850
SCRAPCENTER S.L.,"METAL·LURGIA, 11 NV A",,L'Hospitalet De Llobregat,08908,ES-B,ES,ESB65515017
S. C. S. COMPONENTES ELECTRONICOS S.A.,"MIGUEL HERNANDEZ, 81",,L'Hospitalet De Llobregat,08908,ES-B,ES,ESA08463481
SDG CONSULTING ESPAÑA S.L.,"PS GRACIA, 47 PR",,Barcelona,08007,ES-B,ES,ESB61790085
SDMO INDUSTRIES IBERICA S.A.,"ELS ARGENTERS, 5 1",,Cerdanyola Del Valles,08290,ES-B,ES,ESA29420882
SEBASTIA LLORENS S.L.,"CT C, S/N 251 GRANOLLERS CARDEDEU",,Les Franqueses Del Valles,08520,ES-B,ES,ESB60991197
SECRETARIAT D ENTITATS DE SANTS HOSTAFRANCS I LA B,"SANTS, 79",,Barcelona,08014,ES-B,ES,ESG58186180
SEELIGER Y CONDE S.L.,"PROVENÇA, 267",,Barcelona,08008,ES-B,ES,ESB59060558
SEESOUND S.L.,"VICO, 30",,Barcelona,08021,ES-B,ES,ESB63378780
SEGRA & TRITUSAN SL,"DEGA BAHI, 66 BJ",,Barcelona,08026,ES-B,ES,ESB59559526
SEGURIDAD EN LA GESTION S.L.,"MEJIA LEQUERICA, 22 BJ",,Barcelona,08028,ES-B,ES,ESB58182973
SEGURINSA S.L.,"CASETA, 14 POL SERRA II NV 8",,Lliça De Vall,08185,ES-B,ES,ESB08306839
SEID S.A.,"CR C-155, 15",,Lliça De Vall,08185,ES-B,ES,ESA08109522
SEINEC S.A.,"AFRICA, 20 NV 4B",,Sant Antoni De Vilamajor,08459,ES-B,ES,ESA61081402
SELECT BOTANICAL S.L.,"BORI I FONTESTA, 49 A B",,Barcelona,08017,ES-B,ES,ESB62897087
SELF S.L.,"BERGUEDA, 3",,Sant Quirze Del Valles,08192,ES-B,ES,ESB08953499
SEMPRE AL TEU SERVEI S.L.,"LLETRA C DE LA ZONA FRANCA, 11",,Barcelona,08040,ES-B,ES,ESB62444732
SENSOCAR S.A.,"GEMINIS, 77",,Terrassa,08228,ES-B,ES,ESA61097911
SENSOFAR TECH S.L.,"CR N -, S/N 150 KM. 14,5 MODUL TR 20",,Terrassa,08227,ES-B,ES,ESB62531355
SENSUS ESPAÑA S.A.U.,"SUISSA, 35",,Badalona,08917,ES-B,ES,ESA08338683
SEÑALIZACIONES JICA S.A.,"BAC DE RODA, 65",,Barcelona,08005,ES-B,ES,ESA59334680
SE. R. A. M. ELECTRONICA S.L.,"SANT JAUME, 26",,Ripollet,08291,ES-B,ES,ESB60491495
SERONDA S.A.,"CALABRIA, 267",,Barcelona,08029,ES-B,ES,ESA58501099
SERRAT BUS S.L.,"VERGE DE MONTSERRAT, 24",,Santa Perpetua De Mogoda,08130,ES-B,ES,ESB61015012
SERVEI CENTRAL D. ANESTESIOLOGIA S. L. P.,"VILANA, 12",,Barcelona,08022,ES-B,ES,ESB64410855
SERVEI DE CONTENEDORS S.L.,"MOLL EVARISTO FERNANDEZ, S/N 2 4",,Barcelona,08039,ES-B,ES,ESB58381443
SERVEI DE DISTRIBUCIONS TOT FRESC ALINSTANT S.L.,"AV EUROPA, 28",,Sant Cugat Del Valles,08174,ES-B,ES,ESB61143798
SERVEIS DE LAIGUA S.A.,"NORD, 81",,Terrassa,08221,ES-B,ES,ESA58091794
SERVICANTO S.L.,"POMPEU FABRA, 16 PG CAN ILLA",,La Garriga,08530,ES-B,ES,ESB59119388
SERVICIO DE CLIMATIZACION S.A.,"GAUDI, 26",,La Llagosta,08120,ES-B,ES,ESA08635294
SERVICIOS CLINICOS S.A.,"GARCIA-MARIÑO, 4 BJ",,Barcelona,08022,ES-B,ES,ESA08810053
SERVICIOS DE FISIOTERAPIA S.A.,"ROGER DE LLURIA, 33 BJ",,Barcelona,08009,ES-B,ES,ESA08801102
SERVICIOS DE SALUD NEXGRUP S.L.U.,"BRUC, 72 4",,Barcelona,08009,ES-B,ES,ESB58978768
SERVICIOSE INSTALACIONES ALDAGO S.L.,"SANTANDER, 42 NV 34",,Barcelona,08020,ES-B,ES,ESB61563169
SERVICIOS FLOTANTES OTTO SCHWANDT S.L.,"MOLL D'INFLAMABLES, S/N DS FINAL 2",,Barcelona,08039,ES-B,ES,ESB59932590
SERVICIOS INTEGRALES DE ASISTENCIA A. LAS COMPA/IA,"AV PARAL·LEL, 56 EN 3",,Barcelona,08001,ES-B,ES,ESB82088980
SERVICIOS INTEGRALES ENDOSCOPIA SLP,"MARQUESA DE VILALLONGA, 12 BJ",,Barcelona,08017,ES-B,ES,ESB65019101
SERVICIOS OPERATIVOS S.A.,"JOSEP IRLA I BOSCH, 1 3",,Barcelona,08034,ES-B,ES,ESA59170878
SERVICIOS RECIPE TM 2. S.A.,"SECTOR M (ZONA FRANCA), S/N CL",,Barcelona,08040,ES-B,ES,ESA58842162
SERVICIOS TECNICOS ELECTRONICOS S.A.,"DOS DE MAIG, 218 BJ",,Barcelona,08013,ES-B,ES,ESA58367905
SERVIMATIC S.L.,"PLOM, S/N 5 7",,Barcelona,08038,ES-B,ES,ESB08244212
SERVIOCI MES PLUS S.L.,"PARIS, 120 1 2",,Barcelona,08036,ES-B,ES,ESB61775722
SERVIPALETS S.L.,"INDUSTRIA, 30",,Polinya,08213,ES-B,ES,ESB60129012
SERVITROQUEL NOTTING S.A.,"CM RAL, 1 NAV G H",,Montornes Nord,08170,ES-B,ES,ESA08500522
SES ELECTRO INDUSTRIAL S.L.,"PG INDUSTRIAL CAN MAGAROLA, 15",,Mollet Del Valles,08100,ES-B,ES,ESB59056259
SETCO S.A.,"MIQUEL ROMEU, 56 5 2",,L'Hospitalet De Llobregat,08907,ES-B,ES,ESA58930074
SETESA BCN 2006 S.L.,"BARO D'ESPONELLA, 4",,Barcelona,08031,ES-B,ES,ESB64143555
SETESA VALLES S.L.,"BARO D'ESPONELLA, 4",,Barcelona,08031,ES-B,ES,ESB64143597
SEVEN SEAS IMPORT EXPORT S.L.,"SANT ALEXANDRE, 41",,Barcelona,08031,ES-B,ES,ESB61546537
SHERVALEC S.L.,"RAMBLA, 28 4",,Santa Perpetua De Mogoda,08130,ES-B,ES,ESB59122630
SHIMA SEIKI SPAIN S.A.U.,"COMADRAN, 35",,Barbera Del Valles,08210,ES-B,ES,ESA08768400
SHUTTLE & BLAUTEL SL,"CARGOL, 13 POL IND COLL",,Terra Nostra,08110,ES-B,ES,ESB61529624
SIBEL S.A.,"ROSSELLO, 500 BJ",,Barcelona,08026,ES-B,ES,ESA08628174
SIBIRSK BOOKS S.A.,"MUNTANER, 114 BJ",,Barcelona,08036,ES-B,ES,ESA58929217
SIDEL IBERICA S.L.,"MOLLET, S/N 14 16 PG PALOU NV 3",,Granollers,08401,ES-B,ES,ESB59770883
SIDOGRAS S.A.,"RD SANT PERE, 46 21 2",,Barcelona,08010,ES-B,ES,ESA08508327
SIEMPRE AL SERVICIO HOGAR S.L.,"PERE BOSCH I GIMPERA, 15",,Terrassa,08223,ES-B,ES,ESB60632635
SIESMO S.L.,"PEDRO DE LA CREU, 35 BJ 4",,Barcelona,08034,ES-B,ES,ESB58572967
SIGNES IMATGE I COMUNICACIO S.A.,"AV CARRILET, 243 BS 2",,L'Hospitalet De Llobregat,08907,ES-B,ES,ESA58470220
SILCA KEY SYSTEMS S.A.,"SANTANDER, 73 A BJ",,Barcelona,08020,ES-B,ES,ESA17382227
SILHOUETTE OPTICAL ESPAÑA S.A.,"AUSIAS MARC, 74 EN 1ª",,Barcelona,08013,ES-B,ES,ESA58825977
SILJOR S.L.,"CUCURULLA, 5 BJ",,Barcelona,08002,ES-B,ES,ESB59915637
SILVEMOL S.L.,"ABAT OLIVA, 7",,Sabadell,08203,ES-B,ES,ESB60579034
SIMBEC IBERICA S.L.,"ARAGO, 390 3",,Barcelona,08013,ES-B,ES,ESB82848318
SIMON BRICO S.L.U.,"DIPUTACIO, 390",,Barcelona,08013,ES-B,ES,ESB62259619
SINARD S.A.,"ROCAFORT, 66",,Sabadell,08205,ES-B,ES,ESA08290926
SISTEL S.A.,"SOLSONES, 89",,Pla De La Bruguera,08211,ES-B,ES,ESA08768434
SISTEMASE IMAGEN PUBLICITARIA S.L.,"ROCA PLANA, 18",,Terra Nostra,08110,ES-B,ES,ESB85160976
SISTEMAS ETIQUETAJE Y EMBALAJE S.L.,"D'ANTONI TAPIES, S/N 10 NAV H",,Poligono 1,08213,ES-B,ES,ESB61260295
SISTEMAS INTEGRALES DE REDES Y TELECOMUNICACIONES,"RD GUINARDO, 53 LO 2",,Barcelona,08024,ES-B,ES,ESB61588737
SISTEMAS RQ S.L.U.,"PG SECTOR AUTOPISTA (POLIGONO INDUSTRIAL), 1 CÑDIESEL BI",,Poligon Industrial Sector Autopista,08150,ES-B,ES,ESB60380540
SISTEMAS Y MANTENIMIENTOS DE CATALUNYA S.L.,"PAU CLARIS, 167 A PR 2",,Barcelona,08037,ES-B,ES,ESB63858427
SISTEMES DE L. HOSPITALET I DEL BAIX LLOBREGAT S.A,"COROMINAS, 9 BS 1",,L'Hospitalet De Llobregat,08902,ES-B,ES,ESA08780280
SISTEMES D. OFICINA DEL VALLES S.A.,"AIGUAFREDA, 15",,Mas Dorca,08480,ES-B,ES,ESA08872921
SIURANA FRUITS S.L.,"MC CENTRAL DEL VALLES, 17",,Terrassa,08227,ES-B,ES,ESB62118302
SKI CATALUNYA S.L.,"AV SAN EULALIA, 407",,Terrassa,08223,ES-B,ES,ESB28286334
SLEEVER INTERNATIONAL S.A.,"ARAGO, 284 3 2",,Barcelona,08007,ES-B,ES,ESA58297193
SMEG ESPAÑA S.A.,"DE LA HIDRAULICA, 4 P I FERRERIA",,Terra Nostra,08110,ES-B,ES,ESA59769646
SM IMPORTADOR DE PRODUCTOS DIETETICOS S.L.,"BRUC, 99",,Sabadell,08203,ES-B,ES,ESB62713821
SOCIEDAD DE ULTRACONGELADOS DELIFRANCE IBERICA S.A,"PROVENÇA, 226 PR 3",,Barcelona,08036,ES-B,ES,ESA58106006
SOCIEDAD ESPAÑOLA DE VIDRIOS ARTISTICOS S.A.,"RD SHIMIZU, 16",,Vacarisses,08233,ES-B,ES,ESA08796229
SOCIEDAD GENERAL FRANCESA DE BENEFICENCIA DE BARCE,"SICILIA, 137",,Barcelona,08013,ES-B,ES,ESG08232860
SOCIEDAD MERIDIONAL EJERCICIO DE TRANSPORTE SMET S,"CR GRANOLLERS A MATARO, S/N",,La Roca Del Valles,08430,ES-B,ES,ESA61299111
SOCIETA EUROPEA AUTOCARAVAN ESPAÑA S.L.,"CR C-155, S/N 17",,Lliça De Vall,08185,ES-B,ES,ESB62231444
SOCIETAT EOLICA DE L. ENDERROCADA S.A.,"VIA AUGUSTA, 16 14 PR 2",,Barcelona,08006,ES-B,ES,ESA61250734
SOCIETAT MUNICIPAL DE SERVEIS FUNERARIS DE TERRASA,"CR MONTCADA, 789",,Terrassa,08227,ES-B,ES,ESA08196370
SOCIETAT MUNICIPAL D. HABITATGE DE TERRASSA S.A.,"TELERS, 5 1",,Terrassa,08221,ES-B,ES,ESA08262768
SOCIETE FRANCAISE D. ASSAINISSEMENT S.L.,"CM VINYALETS, 2",,Santa Perpetua De Mogoda,08130,ES-B,ES,ESB08731135
SOCIMA SOCIEDAD INDUSTRIAL DE MATRICERIA S.L.,"PARIS, 10 B",,Rubi,08191,ES-B,ES,ESB65455487
SOFAGER S.L.,"AV VALLES, 722",,Les Fonts,08228,ES-B,ES,ESB63321269
SOFAS MATARO COMERCIAL DE MUEBLES S.L.,"AV VALLES, 722",,Les Fonts,08228,ES-B,ES,ESB64690076
SOFER ACCESORIOS S.L.,"PALLARS, 65 1 3",,Barcelona,08018,ES-B,ES,ESB63911325
SOF MOBLE EGARA S.L.,"AV VALLES, 123",,Les Fonts,08228,ES-B,ES,ESB61799078
SOLCHEM NATURE S.L.,"CONSELL DE CENT, 153 BJ",,Barcelona,08015,ES-B,ES,ESB60662244
SOLEIL S.A.,"GIRONA, 37 BJ",,Barcelona,08010,ES-B,ES,ESA08103707
SOLER Y LLACH SUBASTAS INTERNACIONALES S.A.,"BEETHOVEN, 13 EN 2",,Barcelona,08021,ES-B,ES,ESA59046797
SOLID ENGINYERIA S.L.,"SANTANDER, 101",,Barcelona,08030,ES-B,ES,ESB62257613
SOLO INVEST SPAIN S.L.,"CAMPRODON, 34",,Terrassa,08227,ES-B,ES,ESB61844007
SOLOMAT S.L.,"VALLESPIR, 5",,Terrassa,08226,ES-B,ES,ESB58444951
SOLPLAY S.L.U.,"SELVA DE MAR, 13 BJ",,Barcelona,08019,ES-B,ES,ESB08683195
SOLUCIONES MECANICAS INTEGRALES 2000 S.L.,"AV RAGULL, 50",,Sant Cugat Del Valles,08173,ES-B,ES,ESB64571375
SOLUCIONES NETQUEST DE INVESTIGACION S.L.,"GRAN CAPITA, 2 4",,Barcelona,08034,ES-B,ES,ESB62470489
SOLUCIONES TECNICAS NOVOVENT S.L.,"JOSEP FINESTRES, 9",,Barcelona,08030,ES-B,ES,ESB64130206
SON BLANC CALETA S.L.,"DEL SENA, 12",,Sant Cugat Del Valles,08174,ES-B,ES,ESB97729503
SONETTCAR S.A.,"VIA AUGUSTA, 195",,Barcelona,08021,ES-B,ES,ESA58034612
SORIANO SISTEMES DE COMUNICACIO S.L.,"AV JAUME I, 294",,Terrassa,08226,ES-B,ES,ESB58835471
SORTIS S.A.,"PS VALLDAURA, 172 BJ",,Barcelona,08042,ES-B,ES,ESA28612471
SOSA INGREDIENTS S.L.,"CR BARCELONA, 13",,Sant Quirze Safaja,08189,ES-B,ES,ESB08932188
SOVITEC IBERICA S.A.,"PG INDUSTRIAL SANTA RITA, S/N",,Poligons Ind Santa Rita-Agripina,08755,ES-B,ES,ESA60983079
SPAI GMP S.L.,"BERRUGUETE, 66 BLQ B LC B3",,Barcelona,08035,ES-B,ES,ESB60302585
SPAIN NSCGLOBAL CENTRO DE SOLUCIONES DE RED S.L.,"RB CATALUNYA, 32",,Barcelona,08007,ES-B,ES,ESB61288338
SPEED SOUND S.A.,"CR COMARCAL, 1 KM 6,8 NAV 155",,Palau-Solita I Plegamans,08184,ES-B,ES,ESA08930877
SPIN S.A.,"ROCAFORT, 241 EN 5",,Barcelona,08029,ES-B,ES,ESA08700809
SPIRIT & BRANDS SL,"TRIAS I GIRO, 21",,Barcelona,08034,ES-B,ES,ESB63613574
S. P. M. PROMOCIONS MUNICIPALS DE SANT CUGAT DEL V,"AV TORRE BLANCA, 2",,Sant Cugat Del Valles,08172,ES-B,ES,ESA58618968
SPORT DIR S.A.,"CASTILLEJOS, 388",,Barcelona,08025,ES-B,ES,ESA08763641
SPORT MET S.L.,"SANT ANTONI MARIA CLARET, 362",,Barcelona,08041,ES-B,ES,ESB08541542
S. R. S. A.,"VIOLANT D'HONGRIA REINA D'ARAGO, 57 EN 2",,Barcelona,08028,ES-B,ES,ESA58849274
SSL HEALTHCARE BRANDS S. A. SOCIEDAD UNIPERSONAL,"MARINA, 16",,Barcelona,08005,ES-B,ES,ESA08297517
STABILIT EUROPA S.L.,"PG INDUSTRIAL SANTIGA, S/N 141 PK. 3,900 CR B",,Santa Perpetua De Mogoda,08130,ES-B,ES,ESB62368634
STACKS CONSULTINGE INGENIERIA EN SOFTWARE S.L.U.,"TUSET, 5 2 A",,Barcelona,08006,ES-B,ES,ESB59843920
STAEDTLER IBERIA S.A.,"COMUNICACIONS, 12",,Castellbisbal,08755,ES-B,ES,ESA28172344
STALLERGENES IBERICA S.A.,"RAMON TURRO, 91 BJ",,Barcelona,08005,ES-B,ES,ESA61948501
STAMDISC S.L.,"MENORCA, 2",,Santa Perpetua De Mogoda,08130,ES-B,ES,ESB58659475
STAR TRANS S.A.,"RD SANT ANTONI, 36 3",,Barcelona,08001,ES-B,ES,ESA58951310
STAUBLI ESPAÑOLA S.A.,"REINA ELIONOR, 178 1R",,Sabadell,08205,ES-B,ES,ESA08575029
STEEL LOGISTICS CANTABRIA S.L.,"CR NACIONAL 152-Z, S/N",,Santa Perpetua De Mogoda,08130,ES-B,ES,ESB64240179
STE ENGIPHARM S.L.,"LG UNIVERSITAT AUTONOMA DE BELLATERRA, 13",,Cerdanyola Del Valles,08290,ES-B,ES,ESB08630048
STE PHARMAPACK S.L.,"LG UNIVERSITAT AUTONOMA DE BELLATERRA, 13",,Cerdanyola Del Valles,08290,ES-B,ES,ESB62152335
STOROPACK ESPAÑA S.L.,"COURE, S/N PL IND CAN PRAT",,Mollet Del Valles,08100,ES-B,ES,ESB82197393
SUABAD S.L.,"CASETES DE CAN FATJO, 4",,Rubi,08191,ES-B,ES,ESB08936122
SUBMINISTRES INDUSTRIALS SUTEIN S.L.,"PRIORAT, 6",,La Serra,08185,ES-B,ES,ESB61352456
SUCESORES DE JOSE ESCUDER S.L.,"AV ANTONIO GAUDI RUBI - SUD, 60",,Rubi,08191,ES-B,ES,ESB08152423
SUCONTESA TEXTIL S. A. EN LIQUIDACION,"PAU VILA, 13",,Badalona,08911,ES-B,ES,ESA78076585
SUDENTA S.A.,"CONSELL DE CENT, 474 BJ 1",,Barcelona,08013,ES-B,ES,ESA08253627
