Nom,Adreces/Carrer,Adreces/Carrer (bis),Adreces/Ciutat,Adreces/Codi postal,Adreces/Subdivisió/Codi,Adreces/País/Codi,CIF/NIF
ASSOCIACIO CENTRE PEDRALBES,"CAN MORA, 7",,Barcelona,08034,ES-B,ES,ESG58403189
ASSOCIACIO D. EDUCADORS 4. UATRE,"DOS DE MAIG, 207 4 4",,Barcelona,08013,ES-B,ES,ESG58758517
ASSOCIACIO D. EDUCADORS SOCIALS EN EL VALLES ORIEN,"SASTRE, 6 1 3",,Granollers,08401,ES-B,ES,ESG61747812
ASSOCIACIO ESPORTIVA LES CORTS,"TRAVESSERA DE LES CORTS, 252",,Barcelona,08014,ES-B,ES,ESG08821852
ASSOCIACIO ESPORTIVA NOU BARRIS,"L'ARTESANIA, 63 BJ",,Barcelona,08042,ES-B,ES,ESG08942997
ASSOCIACIO PERE CALAFELL I GIBERT,"ANDRADE, 184 BJ 6",,Barcelona,08020,ES-B,ES,ESG58411869
ASSOCIACIO PER L. ORIENTACIO FOMARCIO I INSERCIO D,"VIA LAIETANA, 16 5",,Barcelona,08003,ES-B,ES,ESG58540428
ASSOC SUPORT AL DISMINUIT PSIQUIC MARE DE DEU DE B,"AV MARE DE DEU DE BELLVITGE, 170",,L'Hospitalet De Llobregat,08907,ES-B,ES,ESG08581639
ASTON IDIOMAS EN EL MUNDO S.L.,"PS MANUEL GIRONA, 82 BJ",,Barcelona,08034,ES-B,ES,ESB64810476
AT 193 S.A.,"AV MARQUES DE L'ARGENTERA, 19 PR",,Barcelona,08003,ES-B,ES,ESA60148418
ATEIA MANTENIMIENTOS Y SERVICIOS INDUSTRIALES S.A.,"ENTENÇA, 332 7 5",,Barcelona,08029,ES-B,ES,ESA60222833
ATLANTIC ESPAÑA S.A.,"AV DIAGONAL, 612 2 8",,Barcelona,08021,ES-B,ES,ESA58266487
ATLANTIDA MEDICA DE ESPECIALIDADES S.A.,"ENRIC GRANADOS, S/N 90 92 5 1",,Barcelona,08008,ES-B,ES,ESA08169633
ATLANTIDA TOURS VIATGES S.A.,"CONSELL DE CENT, 329",,Barcelona,08007,ES-B,ES,ESA62989009
ATLAS GESTION MEDIOAMBIENTAL S.A.,"VIRIAT, 47 2",,Barcelona,08014,ES-B,ES,ESA60963287
ATOM S.A.,"COSTA BRAVA, 30 6A",,Barcelona,08030,ES-B,ES,ESA08346017
ATOS MEDICAL SPAIN S.L.,"ARAGO, 208 3 1",,Barcelona,08011,ES-B,ES,ESB83945618
ATP ENGINEERING & PACKAGING SL,"CR BARCELONA, 66",,La Romanica (Antes De La Creu),08210,ES-B,ES,ESB61218491
AUBERT S.A.,"CARDERS, 4 BJ",,Barcelona,08003,ES-B,ES,ESA58785593
AUCO VALLES S.L.,"MERCE RODOREDA, S/N 16 32",,Sant Cugat Del Valles,08172,ES-B,ES,ESB60147428
